# COMPASS hard exclusive pi0 muoproduction, Phys. Lett. B 870 (2025) 139832
# Tables 7+8 (|t| dependence), 9+11 (Q2 dependence), 10+11 (nu dependence).
# sigma in nb/(GeV/c)^2.  The three projections are the SAME events binned three
# ways -- only one of them may enter a fit.
# proj  lo     up     Q2     nu      mt     W      xB      eps    sigU  stat  sysup sysdn  sigTT stat sysup sysdn
t     0.08   0.15   1.93   11.76   0.12   4.43   0.104   0.996    9.8   1.1   1.2   1.0    -8.2  1.7  0.6   0.6
t     0.15   0.22   2.11   10.32   0.18   4.16   0.123   0.997   11.5   1.4   1.4   1.2    -6.3  2.2  0.5   0.5
t     0.22   0.36   2.33    9.86   0.28   4.04   0.140   0.997    6.8   0.6   1.0   0.9    -4.1  0.9  0.3   0.3
t     0.36   0.50   2.41    9.29   0.42   3.92   0.150   0.998    4.4   0.4   0.7   0.6    -3.8  0.7  0.3   0.3
t     0.50   0.64   2.65    9.35   0.57   3.89   0.165   0.998    4.9   0.6   0.7   0.7    -2.8  0.9  0.2   0.2
Q2    1.0    1.5    1.22   10.54   0.27   4.29   0.072   0.997   13.9   0.9   1.8   1.6    -9.8  1.2  0.7   0.7
Q2    1.5    2.1    1.77    9.81   0.27   4.09   0.109   0.997   11.7   0.8   1.6   1.4    -9.8  1.2  0.7   0.7
Q2    2.1    3.2    2.58    9.82   0.31   4.00   0.157   0.997    9.2   0.7   1.2   1.0    -5.9  1.0  0.4   0.4
Q2    3.2    8.0    4.33   10.39   0.33   3.90   0.247   0.997    4.6   0.4   0.6   0.5    -3.1  0.5  0.2   0.2
nu    6.4    8.5    2.15    7.35   0.31   3.53   0.156   0.999   39.7   2.5   4.7   3.7   -26.2  3.9  2.0   1.7
nu    8.5   13.9    2.50   10.32   0.29   4.20   0.131   0.998   17.1   1.2   2.1   1.7    -9.7  1.8  0.7   0.7
nu   13.9   40.0    2.09   21.08   0.24   6.12   0.057   0.989    2.2   0.2   0.3   0.3    -1.7  0.4  0.1   0.2
# Table 6: the 2016 data restricted to the domain of the 2020 measurement.
# This is the only place where sigma_LT is quoted; it is compatible with zero.
ref27 0.08  0.64   2.16   12.34   0.28   4.61   0.103   0.996    9.0   0.5   1.1   1.0    -6.6  0.8  0.5   0.5   0.7  0.3  0.4  0.4
