# Hall-A pi0 electroproduction, from HallA_pi0_p_n_2016_2017.xlsx (VPK, 2026-08-27)
# proton:  PRL 117 262001 (2016), L/T separated -> sigma column is sigma_T
# neutron: PRL 118 222002 (2017), unseparated  -> sigma column is sigma_U
# target  Q2    xB    -t       sigma  stat     sigma_LT stat     sigma_TT  stat
p_T     1.50  0.36  0.22767  1611.71 179.585  -169.230 37.4904  -439.851  91.4886
p_T     1.75  0.36  0.18288   889.78 101.047   -16.857  6.2748  -116.776  19.8532
p_T     1.75  0.36  0.23190  1032.66 123.592   -17.238  7.8998  -243.039  23.1091
p_T     1.75  0.36  0.28097  1136.03 145.748    13.047 10.8563  -321.289  28.2996
p_T     2.00  0.36  0.18541   331.63  58.8313   -1.590  7.0110  -110.358  21.5383
p_T     2.00  0.36  0.23490   652.64  80.6495   -6.168  9.2549  -192.265  26.4220
n_U     1.75  0.36  0.18273   263.83 237.026    37.591 21.1602   -47.397  47.0435
n_U     1.75  0.36  0.23219   504.73 213.207   -26.939 19.6850   -80.554  42.9743
n_U     1.75  0.36  0.28173   257.14 212.378   -50.319 21.1804   -78.214  45.5613
n_U     1.75  0.36  0.33133   410.43 231.643    22.199 23.4352  -152.733  49.5934
