# Hall-A pi0 off the proton, PRC 83 025201 (2011), tables IV-VII
# four kinematics Kin3 Kin2 KinX3 KinX2, seven t' bins each; sigma in nb/GeV^2
# t' = tmin - t taken from table V (cross-section weighted); tmin from table IV
# Q2 xB eps tmin tp  sigU stat syst  sigLT stat syst  sigTT stat syst  sigLTp stat syst
   2.3500    0.3690    0.6490    0.1730    0.0095  377.0000   10.0000   12.0000  -13.0000   23.0000   10.0000  -12.0000   23.0000   14.0000    9.0000   49.0000   20.0000
   2.3500    0.3690    0.6490    0.1730    0.0298  381.0000   12.0000   12.0000   38.0000   26.0000   24.0000  -25.0000   27.0000   15.0000  119.0000   55.0000   21.0000
   2.3500    0.3690    0.6490    0.1730    0.0546  403.0000   10.0000   13.0000  -25.0000   22.0000   11.0000  -74.0000   22.0000    4.0000  129.0000   46.0000   12.0000
   2.3500    0.3690    0.6490    0.1730    0.0844  425.0000   11.0000   14.0000  -26.0000   25.0000   13.0000  -64.0000   25.0000   14.0000  151.0000   51.0000   30.0000
   2.3500    0.3690    0.6490    0.1730    0.1188  418.0000   11.0000   14.0000  -75.0000   24.0000    9.0000 -124.0000   24.0000   16.0000  153.0000   47.0000   17.0000
   2.3500    0.3690    0.6490    0.1730    0.1583  395.0000   13.0000   13.0000  -91.0000   30.0000    8.0000 -137.0000   29.0000   15.0000   87.0000   54.0000   23.0000
   2.3500    0.3690    0.6490    0.1730    0.2063  384.0000   13.0000   13.0000 -123.0000   31.0000   10.0000 -134.0000   30.0000   15.0000  127.0000   51.0000   15.0000
   1.9410    0.3680    0.7690    0.1700    0.0094  571.0000   10.0000   24.0000   17.0000   19.0000   13.0000  -39.0000   19.0000    7.0000   31.0000   51.0000   15.0000
   1.9410    0.3680    0.7690    0.1700    0.0296  600.0000   12.0000   25.0000  -43.0000   22.0000   12.0000 -110.0000   24.0000   13.0000  136.0000   61.0000   24.0000
   1.9410    0.3680    0.7690    0.1700    0.0541  641.0000   12.0000   27.0000  -23.0000   21.0000   12.0000 -141.0000   22.0000   17.0000   61.0000   56.0000   41.0000
   1.9410    0.3680    0.7690    0.1700    0.0839  673.0000   15.0000   28.0000  -19.0000   27.0000   14.0000 -174.0000   28.0000   17.0000  123.0000   68.0000   20.0000
   1.9410    0.3680    0.7690    0.1700    0.1179  645.0000   16.0000   27.0000 -103.0000   30.0000   21.0000 -319.0000   29.0000   23.0000  120.0000   69.0000   24.0000
   1.9410    0.3680    0.7690    0.1700    0.1576  636.0000   25.0000   27.0000 -185.0000   52.0000   43.0000 -352.0000   45.0000   53.0000  142.0000   91.0000   36.0000
   1.9410    0.3680    0.7690    0.1700    0.2050  628.0000   36.0000   26.0000 -189.0000   74.0000   34.0000 -343.0000   57.0000   68.0000   76.0000   99.0000   80.0000
   2.1550    0.3350    0.6480    0.1370    0.0095  439.0000   19.0000   14.0000   20.0000   46.0000   38.0000  -16.0000   44.0000   16.0000   68.0000   97.0000   35.0000
   2.1550    0.3350    0.6480    0.1370    0.0297  437.0000   22.0000   14.0000    2.0000   50.0000   17.0000  -44.0000   50.0000   32.0000   12.0000  109.0000   39.0000
   2.1550    0.3350    0.6480    0.1370    0.0545  457.0000   18.0000   15.0000  -28.0000   43.0000   15.0000  -63.0000   42.0000   15.0000  236.0000   88.0000   19.0000
   2.1550    0.3350    0.6480    0.1370    0.0843  442.0000   21.0000   14.0000  -37.0000   50.0000   19.0000 -114.0000   47.0000    8.0000  126.0000   99.0000   26.0000
   2.1550    0.3350    0.6480    0.1370    0.1188  466.0000   22.0000   15.0000  -74.0000   55.0000   27.0000 -156.0000   50.0000   18.0000  119.0000   93.0000   22.0000
   2.1550    0.3350    0.6480    0.1370    0.1579  407.0000   29.0000   13.0000 -188.0000   80.0000   27.0000 -244.0000   66.0000   35.0000  246.0000  106.0000   89.0000
   2.1550    0.3350    0.6480    0.1370    0.2057  406.0000   34.0000   13.0000 -174.0000   90.0000   32.0000 -124.0000   69.0000   42.0000  177.0000  104.0000   30.0000
   2.0730    0.3940    0.7680    0.1990    0.0094  635.0000   17.0000   26.0000  -26.0000   30.0000   22.0000  -63.0000   33.0000   18.0000  -23.0000   84.0000  138.0000
   2.0730    0.3940    0.7680    0.1990    0.0296  703.0000   21.0000   29.0000 -100.0000   37.0000   61.0000  -83.0000   41.0000   22.0000  112.0000  100.0000  104.0000
   2.0730    0.3940    0.7680    0.1990    0.0542  683.0000   19.0000   28.0000  -88.0000   32.0000   54.0000 -153.0000   36.0000   24.0000   50.0000   90.0000   63.0000
   2.0730    0.3940    0.7680    0.1990    0.0840  688.0000   23.0000   29.0000  -68.0000   38.0000  487.0000 -186.0000   43.0000   78.0000  211.0000  104.0000   95.0000
   2.0730    0.3940    0.7680    0.1990    0.1181  682.0000   23.0000   28.0000 -170.0000   40.0000  562.0000 -327.0000   44.0000  109.0000    3.0000  106.0000  111.0000
   2.0730    0.3940    0.7680    0.1990    0.1579  662.0000   34.0000   28.0000 -155.0000   63.0000  657.0000 -247.0000   65.0000  141.0000   78.0000  136.0000  126.0000
   2.0730    0.3940    0.7680    0.1990    0.2051  591.0000   44.0000   25.0000 -228.0000   82.0000  738.0000 -444.0000   82.0000  183.0000   62.0000  146.0000  146.0000
