# Hall-A pi0 off the proton, PRL 127 152301 (2021), supplemental table II
# sigma in nb/GeV^2; t' = tmin - t; <t'> is the event-weighted average of the bin
# Q2 xB tp_low tp_up tp  sigU stat syst  sigLT stat syst  sigTT stat syst  sigLTp stat syst
   3.1100    0.3600    0.0000    0.0700    0.0300  195.4600    3.6600   11.9300    7.0500    3.1900    0.2500   -4.6600    7.6200    0.1600   14.5200    6.9100    0.5100
   3.1100    0.3600    0.0700    0.1300    0.1000  217.2900    4.2200   13.2600   -5.9700    3.8100    0.2100  -67.4500    9.0300    2.3600   18.9100    8.0500    0.6600
   3.1100    0.3600    0.1300    0.2200    0.1800  195.7600    4.1500   11.9500  -11.5500    4.0100    0.4000  -67.6700    8.9700    2.3700   27.6300    7.1700    0.9700
   3.1100    0.3600    0.2200    0.3800    0.2900  183.1800    4.5400   11.1800  -28.0800    4.6300    0.9800  -87.1200   10.2300    3.0500    9.0500    6.3800    0.3200
   3.5700    0.3600    0.0000    0.0600    0.0300  115.0400    2.5300    4.6400   -2.3700    2.1800    0.0800  -16.4800    5.2500    0.5800   -5.0800    4.9700    0.1800
   3.5700    0.3600    0.0600    0.1300    0.1000  117.5100    2.7700    4.7400   -9.7000    2.5400    0.3400  -46.9600    5.8500    1.6400   18.1100    5.3100    0.6300
   3.5700    0.3600    0.1300    0.2200    0.1700  119.6100    3.3500    4.8200   -5.3200    3.5200    0.1900  -35.3900    6.9900    1.2400   14.5800    5.3100    0.5100
   3.5700    0.3600    0.2200    0.3500    0.2800  105.3700    4.0600    4.2500  -15.0800    4.6100    0.5300  -56.3600    8.2400    1.9700   10.0400    4.8800    0.3500
   4.4400    0.3600    0.0000    0.0600    0.0300   57.0400    1.8800    2.0800   -1.8400    1.4400    0.0600   -2.4200    3.4300    0.0800    4.9200    3.2400    0.1700
   4.4400    0.3600    0.0600    0.1300    0.0900   62.8600    2.1600    2.2900   -0.2300    1.8300    0.0100  -13.1700    4.0300    0.4600    5.0400    3.6300    0.1800
   4.4400    0.3600    0.1300    0.2100    0.1700   64.5300    2.4700    2.3500    0.6200    2.3500    0.0200  -13.4900    4.6600    0.4700    6.3900    3.6500    0.2200
   4.4400    0.3600    0.2100    0.3800    0.2800   51.6300    2.5600    1.8800   -5.6600    2.6100    0.2000  -28.8000    4.7600    1.0100    5.7900    3.1300    0.2000
   2.6700    0.4800    0.0000    0.0300    0.0100  525.9500   14.4800   41.1600   25.0700   16.5300    0.8800  -29.1400   43.8800    1.0200    7.6000   30.2100    0.2700
   2.6700    0.4800    0.0300    0.0600    0.0400  520.4000   16.3600   40.7300  -38.2500   19.2100    1.3400   -7.8800   45.7900    0.2800   -5.3200   31.8300    0.1900
   2.6700    0.4800    0.0600    0.1100    0.0800  488.3300   17.3300   38.2200  -31.6000   21.7100    1.1100  -55.4400   47.0200    1.9400   16.7000   28.6900    0.5000
   2.6700    0.4800    0.1100    0.1800    0.1400  480.7700   23.4500   37.6300  -60.2000   30.6600    2.1100 -116.1200   57.6700    4.0600   14.0500   27.0500    0.4900
   4.0600    0.4800    0.0000    0.0500    0.0200  126.2300    3.8400    6.7100   -3.9300    3.3600    0.1400  -17.6900    7.8000    0.6200   16.8100    8.4300    0.5900
   4.0600    0.4800    0.0500    0.1000    0.0700  128.7000    4.6500    6.8400   -9.1800    4.4500    0.3200  -13.9000    8.6600    0.4900   26.3800    8.6500    0.9200
   4.0600    0.4800    0.1000    0.1600    0.1200  115.2200    6.0100    6.1200  -16.4200    6.2400    0.5700  -23.1000   10.7800    0.8100   30.1200    8.4100    1.0500
   4.0600    0.4800    0.1600    0.2300    0.1900  111.8900    8.4600    5.9500  -18.0100    8.9700    0.6300  -40.5900   13.0900    1.4200    7.7900    8.5100    0.2700
   5.1600    0.4800    0.0000    0.0500    0.0300   70.4500    2.5300    2.4700    0.0400    2.2300    0.0000   -4.3100    5.5500    0.1500    2.6300    4.2800    0.0900
   5.1600    0.4800    0.0500    0.1100    0.0800   72.9800    2.7800    2.5500    1.9600    2.6400    0.0700  -13.8400    5.8900    0.4600    7.1500    4.4000    0.2500
   5.1600    0.4800    0.1100    0.1900    0.1400   65.7700    3.1700    2.3000   -1.8200    3.5100    0.0600  -19.8100    6.7400    0.6900    2.1600    4.1200    0.0800
   5.1600    0.4800    0.1900    0.3300    0.2500   58.4900    3.7400    2.0500   -4.5200    4.4000    0.1600  -22.4600    7.5500    0.7900    6.6200    3.5300    0.2300
   6.5600    0.4800    0.0000    0.0500    0.0200   33.4800    1.6000    1.5400   -0.7900    1.7300    0.0300    6.4300    4.0800    0.2300    3.2300    2.9600    0.1100
   6.5600    0.4800    0.0500    0.1000    0.0700   38.2100    2.0600    1.7600   -0.3900    2.3900    0.0100    2.1500    5.1400    0.0800    0.9800    3.3000    0.0300
   6.5600    0.4800    0.1000    0.1500    0.1200   31.6100    2.3500    1.4600   -4.9700    2.9500    0.1700   -4.2400    5.5600    0.1500   10.6600    3.1100    0.3700
   6.5600    0.4800    0.1500    0.2100    0.1800   43.7400    4.2300    2.0200   11.9100    5.5100    0.4200   -4.1200    8.5400    0.1400    6.2200    3.3900    0.2200
   5.4900    0.6000    0.0000    0.1200    0.0600   92.4800    1.4200    4.2600   -2.1800    0.7000    0.4400   -3.2900    1.6700    0.1200    6.6100    1.6800    0.2300
   5.4900    0.6000    0.1200    0.2600    0.1800   86.8900    1.3900    4.0100   -5.1200    0.7500    1.0400   -4.2800    1.6600    0.1500    6.4700    1.6000    0.2300
   5.4900    0.6000    0.2600    0.4400    0.3400   78.9600    1.3800    3.6400   -6.4400    0.8600    1.3100  -17.8400    1.7400    0.6200    5.4700    1.4700    0.1900
   5.4900    0.6000    0.4400    0.8800    0.6100   63.4300    1.3700    2.9200   -4.8700    1.0300    0.9900  -13.6500    1.8200    0.4800    6.6600    1.1000    0.2300
   8.3100    0.6000    0.0000    0.0900    0.0500   27.2900    0.9000    1.1000   -0.3600    0.4800    0.0100   -1.7200    1.2500    0.0600    1.1800    0.9000    0.0400
   8.3100    0.6000    0.0900    0.2100    0.1500   24.7200    0.8600    1.0000   -0.7500    0.4800    0.0300   -2.5000    1.1800    0.0900    1.7000    0.8300    0.0600
   8.3100    0.6000    0.2100    0.3600    0.2800   21.4300    0.8100    0.8600   -2.4300    0.4900    0.0900   -4.7100    1.1300    0.1600    0.2100    0.7100    0.0100
   8.3100    0.6000    0.3600    0.6900    0.5000   18.4800    0.7900    0.7400   -1.2000    0.5800    0.0400   -4.3300    1.1800    0.1500    3.1000    0.5600    0.1100
