                                                                       1

1                  SUPPLEMENTAL MATERIAL


    TABLE I: Beam spin asymmetry measurements for first dataset from
    experimental period with negative torus polarity.
           Q2 , xB bin −t range ϕ range BSA ∆stat ∆syst
                 0      0 - 0.42    40 - 80 0.0423 0.1108 0.0306
                 0      0 - 0.42 80 - 120 0.0775 0.0431 0.013
                 0      0 - 0.42 120 - 160 0.0677 0.0297 0.0098
                 0      0 - 0.42 160 - 200 -0.0158 0.0339 0.0134
                 0      0 - 0.42 200 - 240 -0.0294 0.0334 0.0081
                 0      0 - 0.42 240 - 280 -0.0281 0.0583 0.0386
                 0     0.42 - 0.9 80 - 120 0.0146 0.0472 0.0199
                 0     0.42 - 0.9 120 - 160 0.0479 0.0218 0.006
                 0     0.42 - 0.9 160 - 200 0.0117 0.0229 0.0056
                 0     0.42 - 0.9 200 - 240 -0.0758 0.0288 0.014
                 0     0.42 - 0.9 240 - 280 0.0218 0.0602 0.0309
                 0       0.9 - 2   80 - 120 -0.0071 0.0533 0.0178
                 0       0.9 - 2 120 - 160 0.0512 0.0273 0.014
                 0       0.9 - 2 160 - 200 0.0162 0.0281 0.0103
                 0       0.9 - 2 200 - 240 -0.0225 0.0321 0.0157
                 0       0.9 - 2 240 - 280 0.0281 0.0425 0.0158
                 1      0 - 0.42     0 - 40 0.0589 0.0614 0.0197
                 1      0 - 0.42    40 - 80 -0.0115 0.0375 0.0064
                 1      0 - 0.42 80 - 120 0.0006 0.0261 0.0075
                 1      0 - 0.42 120 - 160 0.045 0.0357 0.0145
                 1      0 - 0.42 160 - 200 -0.0252 0.0582 0.0124
                 1      0 - 0.42 200 - 240 -0.01 0.0347 0.0041
                 1      0 - 0.42 240 - 280 -0.0656 0.0301 0.0131
                 1      0 - 0.42 280 - 320 0.0018 0.0472 0.0154
                 1      0 - 0.42 320 - 360 0.0534 0.0611 0.0423
                 1     0.42 - 0.9 40 - 80 0.0203 0.0735 0.0283
                 1     0.42 - 0.9 80 - 120 0.0604 0.0195 0.0064
                 1     0.42 - 0.9 120 - 160 0.043 0.019 0.0077
                 1     0.42 - 0.9 160 - 200 -0.0363 0.0244 0.0075
                 1     0.42 - 0.9 200 - 240 -0.0518 0.0208 0.0063
                 1     0.42 - 0.9 240 - 280 -0.0167 0.0276 0.0055
                 1     0.42 - 0.9 280 - 320 0.0489 0.0753 0.0226
                 1       0.9 - 2   80 - 120 0.0329 0.0279 0.0087
                 1       0.9 - 2 120 - 160 0.0441 0.0275 0.0065
                 1       0.9 - 2 160 - 200 0.0474 0.0351 0.0093
                 1       0.9 - 2 200 - 240 -0.0513 0.0317 0.0062
                 1       0.9 - 2 240 - 280 -0.0008 0.0316 0.01
                 2      0 - 0.46     0 - 40 0.0978 0.1201 0.0446
                 2      0 - 0.46    40 - 80 0.1196 0.0783 0.0226
                 2      0 - 0.46 80 - 120 0.0547 0.0654 0.0136
                 2      0 - 0.46 120 - 160 0.0535 0.0639 0.0232
                 2      0 - 0.46 160 - 200 -0.142 0.0692 0.0388
                 2      0 - 0.46 200 - 240 -0.1097 0.0755 0.0358
                 2      0 - 0.46 240 - 280 -0.1133 0.0861 0.0281
                 2      0 - 0.46 280 - 320 -0.2584 0.1041 0.0468
                 2     0.46 - 0.9 40 - 80 -0.1352 0.1049 0.0238
                 2     0.46 - 0.9 80 - 120 0.0427 0.0542 0.0253
                 2     0.46 - 0.9 120 - 160 0.082 0.045 0.0125
                 2     0.46 - 0.9 160 - 200 0.0082 0.0452 0.0175
                 2     0.46 - 0.9 200 - 240 0.0096 0.0554 0.0158
