exp,meson,target,observable,Q2,xB,t,value,stat,syst,Ebeam,in_fit,source
CLAS6_demasi,pi0,p,A_LU^sinphi,1.3,0.141,-0.154,0.0311,0.0187,,5.776,no,superseded by the phi distributions on the bsa_phi sheet; these were digitised from figure 5 and their errors are 1.5 times too small
CLAS6_demasi,pi0,p,A_LU^sinphi,1.3,0.141,-0.3,0.0856,0.0109,,5.776,no,superseded by the phi distributions on the bsa_phi sheet; these were digitised from figure 5 and their errors are 1.5 times too small
CLAS6_demasi,pi0,p,A_LU^sinphi,1.3,0.141,-0.489,0.0794,0.014,,5.776,no,superseded by the phi distributions on the bsa_phi sheet; these were digitised from figure 5 and their errors are 1.5 times too small
CLAS6_demasi,pi0,p,A_LU^sinphi,1.3,0.141,-0.78,0.0218,0.014,,5.776,no,superseded by the phi distributions on the bsa_phi sheet; these were digitised from figure 5 and their errors are 1.5 times too small
CLAS6_demasi,pi0,p,A_LU^sinphi,1.3,0.141,-1.277,0.0529,0.0249,,5.776,no,superseded by the phi distributions on the bsa_phi sheet; these were digitised from figure 5 and their errors are 1.5 times too small
CLAS6_demasi,pi0,p,A_LU^sinphi,1.35,0.191,-0.147,0.0917,0.0142,,5.776,no,superseded by the phi distributions on the bsa_phi sheet; these were digitised from figure 5 and their errors are 1.5 times too small
CLAS6_demasi,pi0,p,A_LU^sinphi,1.35,0.191,-0.293,0.0822,0.0079,,5.776,no,superseded by the phi distributions on the bsa_phi sheet; these were digitised from figure 5 and their errors are 1.5 times too small
CLAS6_demasi,pi0,p,A_LU^sinphi,1.35,0.191,-0.491,0.1107,0.0142,,5.776,no,superseded by the phi distributions on the bsa_phi sheet; these were digitised from figure 5 and their errors are 1.5 times too small
CLAS6_demasi,pi0,p,A_LU^sinphi,1.35,0.191,-0.776,0.0506,0.0158,,5.776,no,superseded by the phi distributions on the bsa_phi sheet; these were digitised from figure 5 and their errors are 1.5 times too small
CLAS6_demasi,pi0,p,A_LU^sinphi,1.35,0.191,-1.284,0.0332,0.0301,,5.776,no,superseded by the phi distributions on the bsa_phi sheet; these were digitised from figure 5 and their errors are 1.5 times too small
CLAS6_demasi,pi0,p,A_LU^sinphi,1.75,0.191,-0.147,0.0005,0.022,,5.776,no,superseded by the phi distributions on the bsa_phi sheet; these were digitised from figure 5 and their errors are 1.5 times too small
CLAS6_demasi,pi0,p,A_LU^sinphi,1.75,0.191,-0.293,0.093,0.011,,5.776,no,superseded by the phi distributions on the bsa_phi sheet; these were digitised from figure 5 and their errors are 1.5 times too small
CLAS6_demasi,pi0,p,A_LU^sinphi,1.75,0.191,-0.491,0.0805,0.0141,,5.776,no,superseded by the phi distributions on the bsa_phi sheet; these were digitised from figure 5 and their errors are 1.5 times too small
CLAS6_demasi,pi0,p,A_LU^sinphi,1.75,0.191,-0.767,0.0507,0.0157,,5.776,no,superseded by the phi distributions on the bsa_phi sheet; these were digitised from figure 5 and their errors are 1.5 times too small
CLAS6_demasi,pi0,p,A_LU^sinphi,1.75,0.191,-1.284,0.0334,0.0267,,5.776,no,superseded by the phi distributions on the bsa_phi sheet; these were digitised from figure 5 and their errors are 1.5 times too small
CLAS6_demasi,pi0,p,A_LU^sinphi,1.58,0.266,-0.15,0.0513,0.0128,,5.776,no,superseded by the phi distributions on the bsa_phi sheet; these were digitised from figure 5 and their errors are 1.5 times too small
CLAS6_demasi,pi0,p,A_LU^sinphi,1.58,0.266,-0.292,0.0833,0.0077,,5.776,no,superseded by the phi distributions on the bsa_phi sheet; these were digitised from figure 5 and their errors are 1.5 times too small
CLAS6_demasi,pi0,p,A_LU^sinphi,1.58,0.266,-0.49,0.1051,0.0128,,5.776,no,superseded by the phi distributions on the bsa_phi sheet; these were digitised from figure 5 and their errors are 1.5 times too small
CLAS6_demasi,pi0,p,A_LU^sinphi,1.58,0.266,-0.774,0.091,0.0141,,5.776,no,superseded by the phi distributions on the bsa_phi sheet; these were digitised from figure 5 and their errors are 1.5 times too small
CLAS6_demasi,pi0,p,A_LU^sinphi,1.58,0.266,-1.324,0.05,0.0192,,5.776,no,superseded by the phi distributions on the bsa_phi sheet; these were digitised from figure 5 and their errors are 1.5 times too small
CLAS6_demasi,pi0,p,A_LU^sinphi,2.07,0.266,-0.155,0.1148,0.017,,5.776,no,superseded by the phi distributions on the bsa_phi sheet; these were digitised from figure 5 and their errors are 1.5 times too small
CLAS6_demasi,pi0,p,A_LU^sinphi,2.07,0.266,-0.292,0.0939,0.0078,,5.776,no,superseded by the phi distributions on the bsa_phi sheet; these were digitised from figure 5 and their errors are 1.5 times too small
CLAS6_demasi,pi0,p,A_LU^sinphi,2.07,0.266,-0.49,0.0665,0.0117,,5.776,no,superseded by the phi distributions on the bsa_phi sheet; these were digitised from figure 5 and their errors are 1.5 times too small
CLAS6_demasi,pi0,p,A_LU^sinphi,2.07,0.266,-0.774,0.0718,0.013,,5.776,no,superseded by the phi distributions on the bsa_phi sheet; these were digitised from figure 5 and their errors are 1.5 times too small
CLAS6_demasi,pi0,p,A_LU^sinphi,2.07,0.266,-1.302,0.0796,0.0248,,5.776,no,superseded by the phi distributions on the bsa_phi sheet; these were digitised from figure 5 and their errors are 1.5 times too small
CLAS6_demasi,pi0,p,A_LU^sinphi,2.56,0.266,-0.155,0.0856,0.0281,,5.776,no,superseded by the phi distributions on the bsa_phi sheet; these were digitised from figure 5 and their errors are 1.5 times too small
CLAS6_demasi,pi0,p,A_LU^sinphi,2.56,0.266,-0.297,0.0818,0.0115,,5.776,no,superseded by the phi distributions on the bsa_phi sheet; these were digitised from figure 5 and their errors are 1.5 times too small
CLAS6_demasi,pi0,p,A_LU^sinphi,2.56,0.266,-0.494,0.0958,0.0153,,5.776,no,superseded by the phi distributions on the bsa_phi sheet; these were digitised from figure 5 and their errors are 1.5 times too small
CLAS6_demasi,pi0,p,A_LU^sinphi,2.56,0.266,-0.769,0.1009,0.0141,,5.776,no,superseded by the phi distributions on the bsa_phi sheet; these were digitised from figure 5 and their errors are 1.5 times too small
CLAS6_demasi,pi0,p,A_LU^sinphi,2.56,0.266,-1.298,0.0115,0.0217,,5.776,no,superseded by the phi distributions on the bsa_phi sheet; these were digitised from figure 5 and their errors are 1.5 times too small
CLAS6_demasi,pi0,p,A_LU^sinphi,1.88,0.377,-0.175,0.1244,0.0741,,5.776,no,superseded by the phi distributions on the bsa_phi sheet; these were digitised from figure 5 and their errors are 1.5 times too small
CLAS6_demasi,pi0,p,A_LU^sinphi,1.88,0.377,-0.308,0.1131,0.0226,,5.776,no,superseded by the phi distributions on the bsa_phi sheet; these were digitised from figure 5 and their errors are 1.5 times too small
CLAS6_demasi,pi0,p,A_LU^sinphi,1.88,0.377,-0.494,0.0942,0.0264,,5.776,no,superseded by the phi distributions on the bsa_phi sheet; these were digitised from figure 5 and their errors are 1.5 times too small
CLAS6_demasi,pi0,p,A_LU^sinphi,1.88,0.377,-0.777,0.029,0.0201,,5.776,no,superseded by the phi distributions on the bsa_phi sheet; these were digitised from figure 5 and their errors are 1.5 times too small
CLAS6_demasi,pi0,p,A_LU^sinphi,1.88,0.377,-1.321,0.0704,0.0176,,5.776,no,superseded by the phi distributions on the bsa_phi sheet; these were digitised from figure 5 and their errors are 1.5 times too small
