exp,meson,target,bin,observable,Q2,xB,t,phi,value,stat,syst,Ebeam,in_fit,source
CLAS6_demasi,pi0,p,E25M3,A_LU(phi),1.07,0.127,-0.543,26.627,-0.424,0.633,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M3,A_LU(phi),1.15,0.135,-0.504,50.591,0.195,0.103,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M3,A_LU(phi),1.16,0.135,-0.494,75.81,0.025,0.06,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M3,A_LU(phi),1.16,0.134,-0.486,104.159,0.072,0.051,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M3,A_LU(phi),1.14,0.13,-0.482,133.688,-0.017,0.067,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M3,A_LU(phi),1.15,0.13,-0.483,164.223,0.05,0.077,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M3,A_LU(phi),1.17,0.131,-0.477,196.634,0.023,0.086,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M3,A_LU(phi),1.15,0.131,-0.485,225.492,-0.141,0.062,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M3,A_LU(phi),1.15,0.133,-0.491,256.001,-0.096,0.054,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M3,A_LU(phi),1.15,0.135,-0.49,283.144,-0.057,0.055,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M3,A_LU(phi),1.15,0.134,-0.511,309.905,-0.123,0.113,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M3,A_LU(phi),1.06,0.127,-0.517,330.517,0.0,0.888,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M4,A_LU(phi),1.16,0.132,-0.853,17.625,0.079,0.117,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M4,A_LU(phi),1.15,0.134,-0.807,45.711,0.052,0.057,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M4,A_LU(phi),1.15,0.134,-0.782,74.206,-0.019,0.053,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M4,A_LU(phi),1.16,0.132,-0.749,103.709,-0.041,0.057,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M4,A_LU(phi),1.16,0.13,-0.724,133.187,0.042,0.105,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M4,A_LU(phi),1.15,0.13,-0.74,164.537,0.013,0.132,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M4,A_LU(phi),1.16,0.128,-0.688,195.34,0.238,0.153,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M4,A_LU(phi),1.15,0.128,-0.712,227.613,0.0,0.095,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M4,A_LU(phi),1.16,0.133,-0.763,257.954,-0.147,0.061,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M4,A_LU(phi),1.15,0.134,-0.781,284.67,-0.032,0.048,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M4,A_LU(phi),1.15,0.134,-0.787,313.84,0.036,0.064,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M4,A_LU(phi),1.12,0.129,-0.858,342.653,0.121,0.132,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M5,A_LU(phi),1.14,0.132,-1.335,15.71,-0.004,0.08,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M5,A_LU(phi),1.15,0.133,-1.302,45.676,0.031,0.056,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M5,A_LU(phi),1.17,0.133,-1.218,72.132,0.191,0.074,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M5,A_LU(phi),1.18,0.134,-1.236,100.653,-0.04,0.131,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M5,A_LU(phi),1.16,0.14,-1.203,143.436,0.0,0.752,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M5,A_LU(phi),1.15,0.136,-1.312,166.998,0.098,0.279,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M5,A_LU(phi),1.14,0.135,-1.507,194.535,-0.316,0.609,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M5,A_LU(phi),1.18,0.141,-1.327,231.805,0.104,0.257,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M5,A_LU(phi),1.16,0.133,-1.175,257.905,0.213,0.127,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M5,A_LU(phi),1.15,0.132,-1.207,286.769,-0.114,0.068,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M5,A_LU(phi),1.16,0.134,-1.28,314.652,0.018,0.062,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M5,A_LU(phi),1.15,0.133,-1.316,343.729,0.019,0.069,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M6,A_LU(phi),1.37,0.184,-0.125,19.758,0.062,0.183,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M6,A_LU(phi),1.34,0.179,-0.143,46.493,0.09,0.075,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M6,A_LU(phi),1.35,0.177,-0.148,75.913,0.122,0.055,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M6,A_LU(phi),1.33,0.173,-0.148,104.485,0.099,0.051,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M6,A_LU(phi),1.35,0.175,-0.147,136.098,0.1,0.071,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M6,A_LU(phi),1.36,0.174,-0.146,163.986,0.196,0.081,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M6,A_LU(phi),1.37,0.175,-0.143,198.182,-0.086,0.071,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M6,A_LU(phi),1.35,0.174,-0.149,225.347,0.01,0.064,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M6,A_LU(phi),1.35,0.175,-0.148,255.75,-0.108,0.048,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M6,A_LU(phi),1.35,0.177,-0.153,283.81,-0.009,0.055,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M6,A_LU(phi),1.35,0.18,-0.141,313.461,-0.027,0.078,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M6,A_LU(phi),1.37,0.184,-0.129,341.448,-0.057,0.161,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M7,A_LU(phi),1.4,0.193,-0.234,20.576,-0.852,1.03,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M7,A_LU(phi),1.36,0.179,-0.296,49.27,0.186,0.059,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M7,A_LU(phi),1.36,0.177,-0.293,76.117,0.071,0.042,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M7,A_LU(phi),1.35,0.174,-0.293,103.457,0.13,0.039,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M7,A_LU(phi),1.36,0.174,-0.285,132.959,0.046,0.059,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M7,A_LU(phi),1.36,0.172,-0.285,163.948,0.012,0.072,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M7,A_LU(phi),1.34,0.169,-0.267,198.987,0.03,0.081,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M7,A_LU(phi),1.35,0.17,-0.287,225.555,-0.144,0.057,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M7,A_LU(phi),1.35,0.175,-0.29,257.104,-0.037,0.04,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M7,A_LU(phi),1.35,0.176,-0.297,283.238,-0.037,0.039,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M7,A_LU(phi),1.37,0.181,-0.298,311.14,0.031,0.07,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M7,A_LU(phi),1.34,0.19,-0.254,334.478,-0.095,0.392,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M8,A_LU(phi),1.23,0.167,-0.525,25.769,-0.621,0.85,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M8,A_LU(phi),1.35,0.177,-0.493,49.403,0.053,0.062,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M8,A_LU(phi),1.35,0.176,-0.495,75.034,0.106,0.052,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M8,A_LU(phi),1.36,0.172,-0.478,103.106,0.211,0.058,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M8,A_LU(phi),1.34,0.168,-0.482,134.308,0.041,0.116,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
