exp,meson,target,group,Q2,xB,t,tmin,tprime,xB_mean,Q2_bin,xB_bin,t_bin,eps,npts_phi,Ebeam,sigma_meaning,chi2ndf_phi,chi2ndf_phi_rc,in_fit,source,s_u,stat_U,sys_U,s_LT,stat_LT,sys_LT,s_TT,stat_TT,sys_TT,s_u_rc,stat_U_rc,sys_U_rc,s_LT_rc,stat_LT_rc,sys_LT_rc,s_TT_rc,stat_TT_rc,sys_TT_rc
CLAS6_y12,pi0,p,pi000,1.149286,0.131929,-0.119786,0.0177618925240679,0.1020241074759321,0.131929,1.15,0.132,-0.12,0.348904,14.0,5.75,sigma_U,2.680862,2.686822,yes,"PRC 90 025205 (2014) supplemental, phi table",340.866133,40.041956,58.976838,-30.427963,68.500161,115.626261,-244.73804,112.528135,159.079726,320.01584,37.784266,55.369309,-46.477177,64.762626,176.613274,-250.010809,107.489039,162.507026
CLAS6_y12,pi0,p,pi000,1.149286,0.132,-0.174571,0.01778195693172946,0.1567890430682705,0.132,1.15,0.132,-0.17,0.349676,14.0,5.75,sigma_U,0.970028,0.968477,yes,"PRC 90 025205 (2014) supplemental, phi table",314.256432,40.079994,75.06125,-76.85685,69.457464,127.420568,-297.683902,110.28168,219.185065,296.547088,37.81117,70.831311,-87.522924,65.656601,145.103795,-295.520798,105.261387,217.592369
CLAS6_y12,pi0,p,pi000,1.15,0.132,-0.24825,0.01778187970207346,0.2304681202979265,0.132,1.15,0.132,-0.25,0.348776,16.0,5.75,sigma_U,0.9921,0.987912,yes,"PRC 90 025205 (2014) supplemental, phi table",267.25993,18.612127,15.014603,-42.543406,32.373521,37.478715,-238.012706,55.847496,21.451789,254.487292,17.472525,14.297039,-52.45051,30.439301,46.206402,-240.942055,53.246182,21.715808
CLAS6_y12,pi0,p,pi000,1.15,0.132,-0.348067,0.01778187970207346,0.3302851202979266,0.132,1.15,0.132,-0.35,0.348776,15.0,5.75,sigma_U,0.919206,0.914537,yes,"PRC 90 025205 (2014) supplemental, phi table",187.754734,13.128668,32.956948,-50.945477,23.261035,43.81311,-182.407892,43.817605,67.256541,180.768814,12.508997,31.730696,-55.404005,22.194987,47.647444,-182.376498,42.279619,67.244966
CLAS6_y12,pi0,p,pi000,1.15,0.132056,-0.4925,0.01779771391229024,0.4747022860877098,0.132056,1.15,0.132,-0.49,0.349376,18.0,5.75,sigma_U,1.897498,1.875168,yes,"PRC 90 025205 (2014) supplemental, phi table",126.360222,4.729318,10.004768,-15.050146,8.12153,5.518387,-79.923347,19.006202,8.299732,122.439696,4.525319,9.694354,-17.941286,7.760796,6.578472,-81.087453,18.396082,8.42062
CLAS6_y12,pi0,p,pi000,1.15,0.1323,-0.7702,0.0178667943062385,0.7523332056937615,0.1323,1.15,0.132,-0.77,0.352012,20.0,5.75,sigma_U,1.864613,1.850336,yes,"PRC 90 025205 (2014) supplemental, phi table",65.980991,1.996975,7.897725,3.779518,3.104931,6.365504,-40.152659,7.911336,16.141772,64.412792,1.956153,7.710016,2.422639,3.040407,4.080234,-41.21832,7.702666,16.570179
CLAS6_y12,pi0,p,pi000,1.158182,0.133182,-1.708909,0.0181168680187056,1.690792131981294,0.133182,1.15,0.132,-1.71,0.351218,11.0,5.75,sigma_U,1.307208,1.305224,yes,"PRC 90 025205 (2014) supplemental, phi table",17.809319,2.003562,1.600838,4.39748,1.240777,2.045339,-21.712656,6.760112,7.886201,17.705842,1.994928,1.591536,4.416941,1.240157,2.054391,-21.376755,6.738395,7.764199
CLAS6_y12,pi0,p,pi001,1.378889,0.168889,-0.119778,0.02992730078976602,0.08985069921023398,0.168889,1.38,0.169,-0.12,0.431292,18.0,5.75,sigma_U,1.432193,1.432308,yes,"PRC 90 025205 (2014) supplemental, phi table",356.729802,13.191781,34.97351,18.546126,19.302653,29.283356,-191.400426,42.011144,47.098534,340.657362,12.423629,33.397781,7.714062,18.098515,12.180097,-193.705823,40.091019,47.665831
CLAS6_y12,pi0,p,pi001,1.379444,0.169,-0.174722,0.02996926014787316,0.1447527398521268,0.169,1.38,0.169,-0.17,0.431601,18.0,5.75,sigma_U,1.383233,1.383723,yes,"PRC 90 025205 (2014) supplemental, phi table",366.101476,15.146345,24.006654,2.219022,22.426849,23.29973,-247.915955,46.403655,53.196541,349.628993,14.257063,22.926491,-8.427234,21.05139,88.485959,-249.056023,44.290844,53.441171
CLAS6_y12,pi0,p,pi001,1.379375,0.169,-0.248312,0.02996924798025469,0.2183427520197453,0.169,1.38,0.169,-0.25,0.431665,16.0,5.75,sigma_U,1.291379,1.275837,yes,"PRC 90 025205 (2014) supplemental, phi table",330.836846,12.077624,15.992113,18.947698,18.453571,16.953203,-202.122275,35.545396,49.029661,316.580559,11.422614,15.302988,7.399222,17.453595,6.620356,-207.40209,34.164374,50.310408
CLAS6_y12,pi0,p,pi001,1.38,0.169,-0.34875,0.02996935815763702,0.318780641842363,0.169,1.38,0.169,-0.35,0.431085,16.0,5.75,sigma_U,1.376095,1.369272,yes,"PRC 90 025205 (2014) supplemental, phi table",253.87175,10.151951,12.993436,17.114625,15.107764,24.161823,-155.294962,32.197537,25.374994,243.686744,9.656401,12.472156,8.426149,14.356722,11.895739,-160.692828,31.061391,26.256998
CLAS6_y12,pi0,p,pi001,1.38,0.169,-0.493556,0.02996935815763702,0.463586641842363,0.169,1.38,0.169,-0.49,0.431085,18.0,5.75,sigma_U,0.847356,0.830074,yes,"PRC 90 025205 (2014) supplemental, phi table",166.260984,5.119634,12.004403,-15.506468,7.186102,12.082962,-109.802067,17.814871,18.132451,160.737228,4.916143,11.605576,-19.760818,6.876601,15.39804,-112.887621,17.194075,18.641993
CLAS6_y12,pi0,p,pi001,1.38,0.169632,-0.772474,0.03020832466520385,0.7422656753347961,0.169632,1.38,0.169,-0.77,0.435746,19.0,5.75,sigma_U,2.325837,2.276938,yes,"PRC 90 025205 (2014) supplemental, phi table",83.417729,3.271865,4.100872,9.759211,4.384645,10.061043,-48.613908,9.614364,5.412683,81.027548,3.207859,3.983369,7.713159,4.310071,7.95171,-51.186243,9.319255,5.699087
CLAS6_y12,pi0,p,pi001,1.38,0.169875,-1.2085,0.03030048314596745,1.178199516854032,0.169875,1.38,0.169,-1.21,0.437529,16.0,5.75,sigma_U,0.738776,0.737275,yes,"PRC 90 025205 (2014) supplemental, phi table",39.633627,1.697296,3.803227,3.986758,1.659703,1.89371,-40.843933,4.522319,3.00323,39.054862,1.677516,3.747689,3.518887,1.636669,1.671471,-40.965892,4.432594,3.012198
CLAS6_y12,pi0,p,pi001,1.380625,0.170187,-1.71075,0.03041915468031542,1.680330845319685,0.170187,1.38,0.169,-1.71,0.439233,16.0,5.75,sigma_U,3.037768,3.032698,yes,"PRC 90 025205 (2014) supplemental, phi table",15.321388,1.371811,1.502097,0.788527,0.801195,1.557583,-13.583065,4.004939,5.093649,15.236658,1.364067,1.49379,0.753097,0.797861,1.487598,-13.501357,3.982773,5.063009
CLAS6_y12,pi0,p,pi003,1.608889,0.186333,-0.119833,0.03698773438145975,0.08284526561854025,0.186333,1.61,0.187,-0.12,0.35258,18.0,5.75,sigma_U,1.039217,1.036973,yes,"PRC 90 025205 (2014) supplemental, phi table",276.362631,17.263692,46.060438,17.012688,28.981893,58.043289,-184.840895,65.039839,72.909464,263.718392,16.236237,43.953065,7.594899,27.209743,25.91201,-186.453257,62.212611,73.545451
