source_tag,meson,target,Q2,xB,t,sigma_T,sigma_LT,sigma_TT,variant
"Kroll, calculation at one setting (All_experiment.xlsx)",pi0,p,2.21,0.275,-0.12,199.9973,3.0655,-33.3325,0
"Kroll, calculation at one setting (All_experiment.xlsx)",pi0,p,2.21,0.275,-0.17,216.721,4.1585,-74.0751,0
"Kroll, calculation at one setting (All_experiment.xlsx)",pi0,p,2.21,0.275,-0.25,217.1506,4.2475,-105.5793,0
"Kroll, calculation at one setting (All_experiment.xlsx)",pi0,p,2.21,0.275,-0.35,194.6358,3.566,-112.0978,0
"Kroll, calculation at one setting (All_experiment.xlsx)",pi0,p,2.21,0.275,-0.49,150.6936,2.4222,-95.9796,0
"Kroll, calculation at one setting (All_experiment.xlsx)",pi0,p,2.21,0.275,-0.78,75.5576,0.8189,-51.2216,0
"Kroll, calculation at one setting (All_experiment.xlsx)",pi0,p,2.21,0.275,-1.22,23.4769,0.0231,-15.5073,0
"Kroll, calculation at one setting (All_experiment.xlsx)",eta,p,2.21,0.275,-0.12,150.7133,1.9392,-5.0525,1
"Kroll, calculation at one setting (All_experiment.xlsx)",eta,p,2.21,0.275,-0.17,135.6249,2.6408,-11.2228,1
"Kroll, calculation at one setting (All_experiment.xlsx)",eta,p,2.21,0.275,-0.25,112.938,2.7163,-15.9812,1
"Kroll, calculation at one setting (All_experiment.xlsx)",eta,p,2.21,0.275,-0.35,88.3367,2.3048,-16.9442,1
"Kroll, calculation at one setting (All_experiment.xlsx)",eta,p,2.21,0.275,-0.49,61.4683,1.5964,-14.4727,1
"Kroll, calculation at one setting (All_experiment.xlsx)",eta,p,2.21,0.275,-0.78,28.2361,0.5818,-7.6707,1
"Kroll, calculation at one setting (All_experiment.xlsx)",eta,p,2.21,0.275,-1.22,8.8322,0.0531,-2.2881,1
"Kroll, calculation at one setting (All_experiment.xlsx)",pi0,N,2.21,0.275,-0.12,56.5243,0.7511,-26.9015,2
"Kroll, calculation at one setting (All_experiment.xlsx)",pi0,N,2.21,0.275,-0.17,85.62,1.0121,-60.1448,2
"Kroll, calculation at one setting (All_experiment.xlsx)",pi0,N,2.21,0.275,-0.25,105.9864,1.0163,-85.9037,2
"Kroll, calculation at one setting (All_experiment.xlsx)",pi0,N,2.21,0.275,-0.35,106.3334,0.83,-91.3245,2
"Kroll, calculation at one setting (All_experiment.xlsx)",pi0,N,2.21,0.275,-0.49,88.4085,0.534,-78.3089,2
"Kroll, calculation at one setting (All_experiment.xlsx)",pi0,N,2.21,0.275,-0.78,46.5801,0.1399,-41.9348,2
"Kroll, calculation at one setting (All_experiment.xlsx)",pi0,N,2.21,0.275,-1.22,14.3925,-0.0315,-12.7859,2
"Kroll, calculation at one setting (All_experiment.xlsx)",eta,N,2.21,0.275,-0.12,49.1161,0.2983,-0.7095,3
"Kroll, calculation at one setting (All_experiment.xlsx)",eta,N,2.21,0.275,-0.17,42.8407,0.409,-1.5908,3
"Kroll, calculation at one setting (All_experiment.xlsx)",eta,N,2.21,0.275,-0.25,34.314,0.424,-2.2836,3
"Kroll, calculation at one setting (All_experiment.xlsx)",eta,N,2.21,0.275,-0.35,25.9148,0.3636,-2.4455,3
"Kroll, calculation at one setting (All_experiment.xlsx)",eta,N,2.21,0.275,-0.49,17.4568,0.2567,-2.1224,3
"Kroll, calculation at one setting (All_experiment.xlsx)",eta,N,2.21,0.275,-0.78,7.7657,0.0999,-1.1741,3
"Kroll, calculation at one setting (All_experiment.xlsx)",eta,N,2.21,0.275,-1.22,2.4127,0.0143,-0.384,3
"Kroll, calculation at one setting (All_experiment.xlsx)",pi0,p,2.21,0.275,-0.12,207.8013,3.2981,-38.3163,4
