phi [rad]   deg     chi2   d_chi2  slope ET d  ETd/ETu    n/p     pi0     eta     bsa    eg1
     0.00     0   1133.6     +0.0        5.94     0.98   1.09   537.4   240.5   291.7   64.0
     0.20    11   1131.8     -1.8        5.90     1.02   1.11   536.6   240.5   291.9   62.9
     0.40    23   1129.5     -4.1        5.82     1.08   1.16   535.5   240.1   292.0   61.9
     0.60    34   1126.4     -7.2        5.69     1.19   1.25   534.2   239.0   292.2   61.0
     0.80    46   1122.2    -11.4        5.49     1.34   1.38   532.6   237.2   292.3   60.1
     1.00    57   1116.9    -16.7        5.20     1.56   1.58   530.5   234.4   292.8   59.2
     1.28    73   1111.0    -22.6        4.62     1.98   2.01   526.8   231.3   294.9   58.0
     1.60    92   1122.8    -10.8        3.67     2.56   2.76   520.0   235.7   302.0   65.0
     2.00   115   1310.6   +177.0        4.33     1.98   3.20   631.8   280.3   310.6   88.0
     2.40   138   1137.6     +4.0        5.67     1.14   1.22   539.4   236.8   290.7   70.8
     2.80   160   1135.5     +1.9        7.07     0.80   0.97   530.7   247.4   299.3   58.1
