De Masi: 56 of 62 points are above threshold
=== 26_drop_halla_y21: chi2/ndf = 1.5880 (1194.2/752)
   fit    clas6_pi0:     425.7/288     1.48
   fit    clas6_eta:     221.5/207     1.07
   fit      halla_n:      27.4/12      2.28
   fit    halla_y16:      78.3/21      3.73
   fit    halla_y11:     175.4/112     1.57
          halla_y21:    1333.9/144     9.26
          clas12_xs:    2967.3/438     6.77
            compass:    5129.1/10    512.91
   fit   bsa_demasi:     135.6/56      2.42
   fit     bsa_zhao:       5.3/12      0.44
   fit   bsa_clas12:      59.6/30      1.99
   fit          eg1:      65.3/40      1.63
   01_clas6_pi0_in_U.png                            chi2    112.3/96
   01_clas6_pi0_in_LT.png                           chi2    176.9/96
   01_clas6_pi0_in_TT.png                           chi2    136.5/96
   02_clas6_eta_in_U.png                            chi2    108.6/69
   02_clas6_eta_in_LT.png                           chi2     47.1/69
   02_clas6_eta_in_TT.png                           chi2     65.9/69
   03_halla_n_in_T.png                              chi2      0.9/4
   03_halla_n_in_LT.png                             chi2     10.2/4
   03_halla_n_in_TT.png                             chi2     16.2/4
   04_halla_y16_in_T.png                            chi2     26.1/7
   04_halla_y16_in_LT.png                           chi2     30.6/7
   04_halla_y16_in_TT.png                           chi2     21.5/7
   05_halla_y11_in_U.png                            chi2     36.8/28
   05_halla_y11_in_LT.png                           chi2     65.2/28
   05_halla_y11_in_TT.png                           chi2     41.0/28
   05_halla_y11_in_LTp.png                          chi2     32.4/28
   06_halla_y21_out_U.png                           chi2   1069.2/36
   06_halla_y21_out_LT.png                          chi2    100.3/36
   06_halla_y21_out_TT.png                          chi2    112.3/36
   06_halla_y21_out_LTp.png                         chi2     52.2/36
   07_clas12_xs_out_U.png                           chi2    370.5/146
   07_clas12_xs_out_LT.png                          chi2   1971.8/146
   07_clas12_xs_out_TT.png                          chi2    625.0/146
   08_compass_out_U.png                             chi2   4214.5/5
   08_compass_out_TT.png                            chi2    914.5/5
   09_bsa_demasi_in_A_LU^sinphi.png                 chi2    135.6/56
   10_bsa_zhao_in_A_LU^sinphi.png                   chi2      5.3/12
   11_bsa_clas12_in_sigma_LTp_over_sigma_0.png      chi2     59.6/30
   12_eg1_in_AULsin.png                             chi2     19.0/10
   12_eg1_in_AULsin2.png                            chi2      7.1/10
   12_eg1_in_ALLc.png                               chi2     18.0/10
   12_eg1_in_ALLcos.png                             chi2     21.1/10
plots -> runs/26_drop_halla_y21/plots
