De Masi: 56 of 62 points are above threshold
=== 30_drop_eg1: chi2/ndf = 1.6542 (1416.0/856)
   fit    clas6_pi0:     415.3/288     1.44
   fit    clas6_eta:     214.1/207     1.03
   fit      halla_n:      20.2/12      1.68
   fit    halla_y16:      75.0/21      3.57
   fit    halla_y11:     171.8/112     1.53
   fit    halla_y21:     325.0/144     2.26
          clas12_xs:    3310.9/438     7.56
            compass:    6112.5/10    611.25
   fit   bsa_demasi:     128.8/56      2.30
   fit     bsa_zhao:       4.9/12      0.41
   fit   bsa_clas12:      60.8/30      2.03
                eg1:    2091.7/40     52.29
   01_clas6_pi0_in_U.png                            chi2    126.0/96
   01_clas6_pi0_in_LT.png                           chi2    176.5/96
   01_clas6_pi0_in_TT.png                           chi2    112.8/96
   02_clas6_eta_in_U.png                            chi2    107.7/69
   02_clas6_eta_in_LT.png                           chi2     47.6/69
   02_clas6_eta_in_TT.png                           chi2     58.8/69
   03_halla_n_in_T.png                              chi2      1.5/4
   03_halla_n_in_LT.png                             chi2     10.3/4
   03_halla_n_in_TT.png                             chi2      8.4/4
   04_halla_y16_in_T.png                            chi2     22.8/7
   04_halla_y16_in_LT.png                           chi2     30.0/7
   04_halla_y16_in_TT.png                           chi2     22.2/7
   05_halla_y11_in_U.png                            chi2     40.1/28
   05_halla_y11_in_LT.png                           chi2     61.6/28
   05_halla_y11_in_TT.png                           chi2     36.8/28
   05_halla_y11_in_LTp.png                          chi2     33.3/28
   06_halla_y21_in_U.png                            chi2     91.4/36
   06_halla_y21_in_LT.png                           chi2    102.6/36
   06_halla_y21_in_TT.png                           chi2     79.5/36
   06_halla_y21_in_LTp.png                          chi2     51.5/36
   07_clas12_xs_out_U.png                           chi2    629.5/146
   07_clas12_xs_out_LT.png                          chi2   2308.8/146
   07_clas12_xs_out_TT.png                          chi2    372.6/146
   08_compass_out_U.png                             chi2   4806.6/5
   08_compass_out_TT.png                            chi2   1305.9/5
   09_bsa_demasi_in_A_LU^sinphi.png                 chi2    128.8/56
   10_bsa_zhao_in_A_LU^sinphi.png                   chi2      4.9/12
   11_bsa_clas12_in_sigma_LTp_over_sigma_0.png      chi2     60.8/30
   12_eg1_out_AULsin.png                            chi2    232.8/10
   12_eg1_out_AULsin2.png                           chi2     60.5/10
   12_eg1_out_ALLc.png                              chi2    577.2/10
   12_eg1_out_ALLcos.png                            chi2   1221.2/10
plots -> runs/30_drop_eg1/plots
