De Masi: 56 of 62 points are above threshold
=== 55_drop_halla_y11: chi2/ndf = 1.5714 (1007.3/641)
   fit    clas6_pi0:     415.9/288     1.44
   fit    clas6_eta:     217.8/207     1.05
   fit      halla_n:      32.1/12      2.67
   fit    halla_y16:      91.5/21      4.36
          halla_y11:     328.2/112     2.93
          halla_y21:     852.3/144     5.92
          clas12_xs:    2167.5/438     4.95
            compass:    5628.9/10    562.89
   fit   bsa_demasi:     132.6/56      2.37
   fit     bsa_zhao:       4.2/12      0.35
   fit   bsa_clas12:      58.6/30      1.95
   fit          eg1:      54.6/40      1.37
   01_clas6_pi0_in_U.png                            chi2    120.1/96
   01_clas6_pi0_in_LT.png                           chi2    172.2/96
   01_clas6_pi0_in_TT.png                           chi2    123.6/96
   02_clas6_eta_in_U.png                            chi2    105.9/69
   02_clas6_eta_in_LT.png                           chi2     45.6/69
   02_clas6_eta_in_TT.png                           chi2     66.3/69
   03_halla_n_in_T.png                              chi2      0.8/4
   03_halla_n_in_LT.png                             chi2     10.6/4
   03_halla_n_in_TT.png                             chi2     20.7/4
   04_halla_y16_in_T.png                            chi2     33.1/7
   04_halla_y16_in_LT.png                           chi2     35.7/7
   04_halla_y16_in_TT.png                           chi2     22.8/7
   05_halla_y11_out_U.png                           chi2    181.2/28
   05_halla_y11_out_LT.png                          chi2     70.7/28
   05_halla_y11_out_TT.png                          chi2     42.4/28
   05_halla_y11_out_LTp.png                         chi2     33.9/28
   06_halla_y21_out_U.png                           chi2    585.5/36
   06_halla_y21_out_LT.png                          chi2    119.4/36
   06_halla_y21_out_TT.png                          chi2     97.6/36
   06_halla_y21_out_LTp.png                         chi2     49.7/36
   07_clas12_xs_out_U.png                           chi2    355.5/146
   07_clas12_xs_out_LT.png                          chi2   1302.1/146
   07_clas12_xs_out_TT.png                          chi2    510.0/146
   08_compass_out_U.png                             chi2   4665.5/5
   08_compass_out_TT.png                            chi2    963.3/5
   09_bsa_demasi_in_A_LU^sinphi.png                 chi2    132.6/56
   10_bsa_zhao_in_A_LU^sinphi.png                   chi2      4.2/12
   11_bsa_clas12_in_sigma_LTp_over_sigma_0.png      chi2     58.6/30
   12_eg1_in_AULsin.png                             chi2     18.8/10
   12_eg1_in_AULsin2.png                            chi2      6.2/10
   12_eg1_in_ALLc.png                               chi2     17.1/10
   12_eg1_in_ALLcos.png                             chi2     12.5/10
plots -> runs/55_drop_halla_y11/plots
