De Masi: 56 of 62 points are above threshold
=== 57_drop_bsa_zhao: chi2/ndf = 1.6323 (1209.6/741)
   fit    clas6_pi0:     440.0/288     1.53
   fit    clas6_eta:     223.9/207     1.08
   fit      halla_n:      31.1/12      2.59
   fit    halla_y16:      81.0/21      3.86
   fit    halla_y11:     176.6/112     1.58
          halla_y21:    1383.0/144     9.60
          clas12_xs:    2795.7/438     6.38
            compass:    5591.8/10    559.18
   fit   bsa_demasi:     137.1/56      2.45
           bsa_zhao:       5.4/12      0.45
   fit   bsa_clas12:      57.7/30      1.92
   fit          eg1:      62.1/40      1.55
   01_clas6_pi0_in_U.png                            chi2    131.6/96
   01_clas6_pi0_in_LT.png                           chi2    177.6/96
   01_clas6_pi0_in_TT.png                           chi2    130.8/96
   02_clas6_eta_in_U.png                            chi2    110.6/69
   02_clas6_eta_in_LT.png                           chi2     46.4/69
   02_clas6_eta_in_TT.png                           chi2     66.9/69
   03_halla_n_in_T.png                              chi2      0.8/4
   03_halla_n_in_LT.png                             chi2     10.6/4
   03_halla_n_in_TT.png                             chi2     19.7/4
   04_halla_y16_in_T.png                            chi2     28.0/7
   04_halla_y16_in_LT.png                           chi2     30.7/7
   04_halla_y16_in_TT.png                           chi2     22.2/7
   05_halla_y11_in_U.png                            chi2     39.3/28
   05_halla_y11_in_LT.png                           chi2     65.2/28
   05_halla_y11_in_TT.png                           chi2     40.1/28
   05_halla_y11_in_LTp.png                          chi2     32.1/28
   06_halla_y21_out_U.png                           chi2   1128.5/36
   06_halla_y21_out_LT.png                          chi2     97.9/36
   06_halla_y21_out_TT.png                          chi2    105.4/36
   06_halla_y21_out_LTp.png                         chi2     51.3/36
   07_clas12_xs_out_U.png                           chi2    372.9/146
   07_clas12_xs_out_LT.png                          chi2   1826.1/146
   07_clas12_xs_out_TT.png                          chi2    596.6/146
   08_compass_out_U.png                             chi2   4646.5/5
   08_compass_out_TT.png                            chi2    945.3/5
   09_bsa_demasi_in_A_LU^sinphi.png                 chi2    137.1/56
   10_bsa_zhao_out_A_LU^sinphi.png                  chi2      5.4/12
   11_bsa_clas12_in_sigma_LTp_over_sigma_0.png      chi2     57.7/30
   12_eg1_in_AULsin.png                             chi2     18.8/10
   12_eg1_in_AULsin2.png                            chi2      7.4/10
   12_eg1_in_ALLc.png                               chi2     18.7/10
   12_eg1_in_ALLcos.png                             chi2     17.2/10
plots -> runs/57_drop_bsa_zhao/plots
