De Masi: 56 of 62 points are above threshold
=== 78_drop_bsa_clas12: chi2/ndf = 1.2142 (1663.5/1370)
   fit    clas6_pi0:     443.4/288     1.54
   fit    clas6_eta:     221.6/207     1.07
   fit      halla_n:      28.0/12      2.33
   fit    halla_y16:      82.1/21      3.91
   fit    halla_y11:     150.1/112     1.34
          halla_y21:    1323.5/144     9.19
          clas12_xs:    2991.4/438     6.83
            compass:      96.6/26      3.72
         bsa_demasi:     132.8/56      2.37
   fit     bsa_zhao:      13.3/12      1.10
         bsa_clas12:      95.8/30      3.19
   fit bsa_demasi_phi:     663.0/703     0.94
   fit          eg1:      62.1/40      1.55
   01_bsa_demasi_phi_in_A_phi.png                   chi2    663.0/703
   02_clas6_pi0_in_U.png                            chi2    135.5/96
   02_clas6_pi0_in_LT.png                           chi2    179.5/96
   02_clas6_pi0_in_TT.png                           chi2    128.3/96
   03_clas6_eta_in_U.png                            chi2    110.3/69
   03_clas6_eta_in_LT.png                           chi2     45.6/69
   03_clas6_eta_in_TT.png                           chi2     65.6/69
   04_halla_n_in_T.png                              chi2      0.9/4
   04_halla_n_in_LT.png                             chi2     10.4/4
   04_halla_n_in_TT.png                             chi2     16.7/4
   05_halla_y16_in_T.png                            chi2     27.9/7
   05_halla_y16_in_LT.png                           chi2     30.0/7
   05_halla_y16_in_TT.png                           chi2     24.3/7
   06_halla_y11_in_U.png                            chi2     40.3/28
   06_halla_y11_in_LT.png                           chi2     52.4/28
   06_halla_y11_in_TT.png                           chi2     43.7/28
   06_halla_y11_in_LTp.png                          chi2     13.7/28
   07_halla_y21_out_U.png                           chi2   1051.9/36
   07_halla_y21_out_LT.png                          chi2     96.6/36
   07_halla_y21_out_TT.png                          chi2    102.1/36
   07_halla_y21_out_LTp.png                         chi2     72.9/36
   08_clas12_xs_out_U.png                           chi2    391.1/146
   08_clas12_xs_out_LT.png                          chi2   2053.6/146
   08_clas12_xs_out_TT.png                          chi2    546.8/146
   09_compass_out_U.png                             chi2     56.6/13
   09_compass_out_TT.png                            chi2     40.1/13
   10_bsa_demasi_out_A_LU^sinphi.png                chi2    132.8/56
   11_bsa_zhao_in_A_LU^sinphi.png                   chi2     13.3/12
   12_bsa_clas12_out_sigma_LTp_over_sigma_0.png     chi2     95.8/30
   13_eg1_in_AULsin.png                             chi2     19.8/10
   13_eg1_in_AULsin2.png                            chi2      6.3/10
   13_eg1_in_ALLc.png                               chi2     17.5/10
   13_eg1_in_ALLcos.png                             chi2     18.5/10
plots -> runs/78_drop_bsa_clas12/plots
