### 19:10:54  01_all
   chi2/ndf = 3.8321  (5150.3/1344)
### 19:19:28  02_no_clas12xs
   chi2/ndf = 3.7581  (3404.9/906)
### 19:24:53  03_drop_clas6_pi0
   chi2/ndf = 3.7042  (2289.2/618)
### 19:26:26  04_drop_clas6_eta
   chi2/ndf = 4.1618  (2909.1/699)
### 19:27:41  05_drop_halla_n
   chi2/ndf = 3.7873  (3385.8/894)
### 19:34:06  06_drop_halla_y16
   chi2/ndf = 3.7467  (3315.9/885)
### 19:39:53  07_drop_halla_y11
   chi2/ndf = 3.9603  (3144.5/794)
### 20:00:51  08_drop_halla_y21
   chi2/ndf = 3.5092  (2674.0/762)
### 20:05:41  09_drop_compass
   chi2/ndf = 1.7476  (1565.8/896)
### 20:06:41  10_drop_bsa_demasi
   chi2/ndf = 3.8149  (3242.7/850)
### 20:11:47  11_drop_bsa_zhao
   chi2/ndf = 3.8032  (3400.1/894)
### 20:16:30  12_drop_bsa_clas12
   chi2/ndf = 3.7753  (3307.2/876)
### 20:29:51  13_drop_eg1
   chi2/ndf = 3.7439  (3242.2/866)
### 20:32:44  ALL DONE
