### 10:10:05  20_base
   chi2/ndf = 1.7476  (1565.8/896)
### 10:11:05  21_drop_clas6_pi0
   chi2/ndf = 1.6926  (1029.1/608)
### 10:12:02  22_drop_clas6_eta
   chi2/ndf = 1.9278  (1328.2/689)
### 10:12:59  23_drop_halla_n
   chi2/ndf = 1.7303  (1529.6/884)
### 10:13:52  24_drop_halla_y16
   chi2/ndf = 1.6985  (1486.2/875)
### 10:15:02  25_drop_halla_y11
   chi2/ndf = 1.7833  (1398.1/784)
### 10:16:06  26_drop_halla_y21
   chi2/ndf = 1.5880  (1194.2/752)
### 10:17:11  27_drop_bsa_demasi
   chi2/ndf = 1.6764  (1408.1/840)
### 10:18:16  28_drop_bsa_zhao
   chi2/ndf = 1.7645  (1559.8/884)
### 10:19:17  29_drop_bsa_clas12
   chi2/ndf = 1.7189  (1488.5/866)
### 10:20:20  30_drop_eg1
   chi2/ndf = 1.6542  (1416.0/856)
### 10:21:31  SERIES 2 DONE
