# Q2 xB t eps npts chi2ndf sigU err sigTT err sigLT err
   1.1660    0.1330    0.1200    0.3396   13.0000    0.3666  157.5079   27.4094   92.1979  109.0887    7.4456   50.6305
   1.1660    0.1330    0.1700    0.3396   15.0000    0.4868  143.0515   17.7844   -4.6844   76.7899    1.5008   27.2067
   1.1660    0.1330    0.2500    0.3396   18.0000    0.8673  116.1225   10.2177  -75.2115   42.1108  -23.1613   15.2450
   1.1660    0.1330    0.3500    0.3396   19.0000    0.9080   93.0384    8.7423  -31.6473   37.4887   -1.8269   12.9871
   1.1660    0.1330    0.5000    0.3396   20.0000    1.8858   50.6717    4.2905  -36.0117   19.0944    1.5927    6.1610
   1.1660    0.1330    0.8000    0.3396   20.0000    0.7860   36.1036    2.4697  -43.0479   10.0149    1.0198    3.1078
   1.1660    0.1330    1.2500    0.3396   15.0000    1.5872   16.2071    1.7267  -14.5411    6.5746   -1.2055    2.4335
   1.3880    0.1700    0.1200    0.4304   15.0000    0.4056  132.7040   15.3771   15.1257   53.1083   25.7552   19.8373
   1.3880    0.1700    0.1700    0.4304   13.0000    0.4814  154.8517   17.9914   -0.4065   57.1303  -18.7314   23.4007
   1.3880    0.1700    0.2500    0.4304   20.0000    1.4685  100.7204    7.9456  -23.5033   25.2255   10.0731   10.0317
   1.3880    0.1700    0.3500    0.4304   20.0000    1.0477  103.6350    7.9649  -81.5258   25.6020    7.1747    9.3287
   1.3880    0.1700    0.5000    0.4304   19.0000    1.6310   64.7517    4.4876  -65.5046   15.1122    4.0404    4.9882
   1.3880    0.1700    0.8000    0.4304   20.0000    2.4951   38.6940    2.3534  -12.3970    8.1919    5.5900    2.8298
   1.3880    0.1700    1.2500    0.4304   19.0000    1.5530   16.8078    1.5066   -6.2140    5.3377   -1.7876    1.8899
   1.6190    0.1870    0.2500    0.3486   14.0000    0.4055  116.0596   14.4885   11.4007   56.4946   -6.7253   22.3806
   1.6190    0.1870    0.3500    0.3486   14.0000    0.4907   97.5438   13.1372  -23.4326   50.4468  -21.1518   20.8128
   1.6190    0.1870    0.5000    0.3486   14.0000    1.2387   70.3928    7.5918  -23.9606   31.9361   -6.2315   10.9842
   1.6190    0.1870    0.8000    0.3486   19.0000    0.8823   38.2775    3.3249  -45.3254   13.0332   -4.5587    4.5175
