# Q2 xB t eps npts chi2ndf sigU err sigTT err sigLT err
   1.1500    0.1320    0.1200    0.3507   14.0000    2.6868  320.0158   37.7843 -248.7343  106.9402  -46.3276   64.5543
   1.1500    0.1320    0.1750    0.3507   14.0000    0.9685  296.5471   37.8112 -294.6631  104.9559  -87.3629   65.5365
   1.1500    0.1320    0.2500    0.3507   16.0000    0.9879  254.4873   17.4725 -239.6238   52.9549  -52.2697   30.3343
   1.1500    0.1320    0.3500    0.3507   15.0000    0.9145  180.7688   12.5090 -181.3787   42.0483  -55.2130   22.1185
   1.1500    0.1320    0.4900    0.3507   18.0000    1.8752  122.4397    4.5253  -80.7827   18.3270  -17.8988    7.7424
   1.1500    0.1320    0.7700    0.3507   20.0000    1.8503   64.4128    1.9562  -41.3732    7.7316    2.4284    3.0476
   1.1500    0.1320    1.2100    0.3507   13.0000    1.8700   21.9354    6.8268  -49.7259   14.6236   19.1617   11.2452
   1.1500    0.1320    1.7100    0.3507   11.0000    1.3052   17.7058    1.9949  -21.4087    6.7485    4.4211    1.2413
   1.3800    0.1690    0.1200    0.4336   18.0000    1.4323  340.6574   12.4236 -192.6702   39.8767    7.6872   18.0355
   1.3800    0.1690    0.1750    0.4336   18.0000    1.3837  349.6290   14.2571 -247.9016   44.0855   -8.4018   20.9878
   1.3800    0.1690    0.2500    0.4336   16.0000    1.2758  316.5806   11.4226 -206.4716   34.0111    7.3776   17.4026
   1.3800    0.1690    0.3500    0.4336   16.0000    1.3693  243.6867    9.6564 -159.7568   30.8805    8.3942   14.3022
   1.3800    0.1690    0.4900    0.4336   18.0000    0.8301  160.7372    4.9161 -112.2300   17.0939  -19.6858    6.8505
   1.3800    0.1690    0.7700    0.4336   19.0000    2.2769   81.0275    3.2079  -51.4383    9.3652    7.7379    4.3239
   1.3800    0.1690    1.2100    0.4336   16.0000    0.7373   39.0549    1.6775  -41.3361    4.4726    3.5396    1.6463
   1.3800    0.1690    1.7100    0.4336   16.0000    3.0327   15.2367    1.3641  -13.6764    4.0344    0.7594    0.8046
   1.4800    0.2040    0.2500    0.5591    9.0000    0.8096  710.6825  244.5239  168.1911  508.9055 -212.2011  220.7117
   1.6100    0.1860    0.1200    0.3553   18.0000    1.0370  263.7184   16.2362 -185.0006   61.7279    7.5575   27.0758
   1.6100    0.1860    0.1750    0.3553   16.0000    0.7478  329.8287   23.3244 -110.3020   80.0664   24.5269   40.3584
   1.6100    0.1860    0.2500    0.3553   16.0000    1.4941  264.8693   14.1632 -177.8679   51.3612   -9.0941   24.7333
   1.6100    0.1860    0.3500    0.3553   16.0000    1.6757  215.0860   11.4415 -148.9096   44.5701  -20.7681   19.6206
